time,temperature,humidity,precipitation,wind_speed,city,country,latitude,longitude,timezone,fetched_at
2026-04-12 00:00:00,21.4,69.0,0.0,4.3,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 01:00:00,20.7,71.0,0.0,4.1,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 02:00:00,20.1,73.0,0.0,3.8,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 03:00:00,19.6,75.0,0.0,3.4,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 04:00:00,19.2,77.0,0.0,2.9,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 05:00:00,18.2,80.0,0.0,3.5,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 06:00:00,17.7,83.0,0.0,3.7,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 07:00:00,18.6,81.0,0.0,4.0,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 08:00:00,20.8,72.0,0.0,4.7,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 09:00:00,23.7,62.0,0.0,5.6,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 10:00:00,26.1,51.0,0.0,8.1,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 11:00:00,27.6,44.0,0.0,7.9,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 12:00:00,28.9,39.0,0.0,8.1,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 13:00:00,29.9,35.0,0.0,8.8,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 14:00:00,30.5,32.0,0.0,9.5,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 15:00:00,30.6,32.0,0.0,9.4,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 16:00:00,30.4,31.0,0.0,9.7,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 17:00:00,30.4,30.0,0.0,8.4,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 18:00:00,29.4,31.0,0.0,6.6,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 19:00:00,27.7,37.0,0.0,4.3,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 20:00:00,25.9,45.0,0.0,4.1,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
2026-04-12 21:00:00,25.1,50.0,0.0,3.1,Lahore,Pakistan,31.5,74.375,Asia/Karachi,2026-04-14T16:51:41.970314+00:00
